cve_municipio,municipio,fecha,remesas_musd_mensual
14001,Acatic,2013-01-01,0.766090202
14001,Acatic,2013-02-01,0.7992161028
14001,Acatic,2013-03-01,0.8524566952
14001,Acatic,2013-04-01,0.8351761736
14001,Acatic,2013-05-01,0.8665099607
14001,Acatic,2013-06-01,0.8392328658
14001,Acatic,2013-07-01,0.6756581975
14001,Acatic,2013-08-01,0.6952117438
14001,Acatic,2013-09-01,0.6619530587
14001,Acatic,2013-10-01,0.6356995713
14001,Acatic,2013-11-01,0.5916372519
14001,Acatic,2013-12-01,0.6223691768
14001,Acatic,2014-01-01,0.8201183245
14001,Acatic,2014-02-01,0.8404031302
14001,Acatic,2014-03-01,0.9386255453
14001,Acatic,2014-04-01,0.8402229102
14001,Acatic,2014-05-01,0.8843391202
14001,Acatic,2014-06-01,0.8499259696
14001,Acatic,2014-07-01,0.8274934501
14001,Acatic,2014-08-01,0.8291685932
14001,Acatic,2014-09-01,0.8185199567
14001,Acatic,2014-10-01,1.0499176792
14001,Acatic,2014-11-01,0.9819324857
14001,Acatic,2014-12-01,1.0982698351
14001,Acatic,2015-01-01,1.0269078399
14001,Acatic,2015-02-01,1.0821332724
14001,Acatic,2015-03-01,1.1848028877
14001,Acatic,2015-04-01,0.9006082869
14001,Acatic,2015-05-01,0.9503316665
14001,Acatic,2015-06-01,0.9380890467
14001,Acatic,2015-07-01,1.1559873866
14001,Acatic,2015-08-01,1.1609663961
14001,Acatic,2015-09-01,1.1083852173
14001,Acatic,2015-10-01,1.0084151261
14001,Acatic,2015-11-01,0.9616849448
14001,Acatic,2015-12-01,1.0357609291
14001,Acatic,2016-01-01,1.0853223555
14001,Acatic,2016-02-01,1.1218857786
14001,Acatic,2016-03-01,1.1499178658
14001,Acatic,2016-04-01,1.3461320263
14001,Acatic,2016-05-01,1.4256880988
14001,Acatic,2016-06-01,1.3842978749
14001,Acatic,2016-07-01,1.1223408525
14001,Acatic,2016-08-01,1.1255449565
14001,Acatic,2016-09-01,1.1560491909
14001,Acatic,2016-10-01,1.1671343565
